Route No.,Bus No.,From,To,Distance (km)
RT366,PB-11-4784,Ropar,Bathinda,205.8
RT112,PB-43-1251,Ferozepur,Ludhiana,149.8
RT553,PB-67-7526,Mohali,Hoshiarpur,139.2
RT805,PB-57-7342,Ropar,Chandigarh,45.9
RT100,PB-94-5431,Patiala,Ludhiana,96.6
RT780,PB-69-8321,Hoshiarpur,Ludhiana,82.8
RT607,PB-41-6444,Moga,Bathinda,87.7
RT913,PB-76-1296,Chandigarh,Kapurthala,185.0
RT858,PB-46-6035,Ludhiana,Hoshiarpur,87.1
RT139,PB-68-6611,Moga,Ludhiana,84.4
RT432,PB-82-5605,Ropar,Ludhiana,75.2
RT878,PB-89-6660,Chandigarh,Hoshiarpur,145.1
RT190,PB-37-5279,Ferozepur,Chandigarh,247.6
RT951,PB-32-6760,Ferozepur,Amritsar,99.3
RT639,PB-60-5653,Ludhiana,Pathankot,183.1
RT562,PB-51-8808,Pathankot,Ferozepur,207.2
RT453,PB-28-6534,Hoshiarpur,Mohali,138.7
RT405,PB-51-9841,Mohali,Kapurthala,172.2
RT139,PB-11-2588,Patiala,Jalandhar,170.5
RT430,PB-74-6948,Chandigarh,Kapurthala,183.4
RT590,PB-55-6311,Amritsar,Ludhiana,161.2
RT691,PB-81-2217,Chandigarh,Moga,197.1
RT638,PB-75-1572,Ludhiana,Chandigarh,108.0
RT758,PB-42-3910,Ferozepur,Ropar,225.9
RT481,PB-60-4119,Patiala,Chandigarh,67.6
RT142,PB-51-3264,Ropar,Chandigarh,43.7
RT911,PB-18-1520,Bathinda,Chandigarh,240.1
RT517,PB-53-2763,Kapurthala,Mohali,184.3
RT636,PB-43-8861,Kapurthala,Patiala,181.6
RT640,PB-18-2431,Ferozepur,Amritsar,103.9
RT750,PB-73-1688,Hoshiarpur,Ferozepur,179.0
RT948,PB-35-1901,Kapurthala,Bathinda,171.3
RT811,PB-91-4098,Pathankot,Chandigarh,247.2
RT727,PB-19-7743,Bathinda,Ferozepur,106.6
